                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.25562,                0.15401,                0.78637,                0.92366,                  0.902,                0.90307,                0.61033,                0.55221,                 0.2785,                 0.8881,               0.070003,               0.003333,               0.003333
                      1,                0.28424,                0.18001,                0.79122,                0.92808,                0.89306,                0.89934,                0.62053,                0.49614,                0.24528,                0.89398,               0.039563,              0.0062264,              0.0062264
                      2,                0.30998,                0.19909,                0.79789,                0.76669,                0.87022,                0.79687,                0.57905,                0.46999,                0.27328,                0.89788,              0.0086828,              0.0086797,              0.0086797
                      3,                0.30885,                0.19712,                0.79874,                0.91935,                0.88643,                 0.8717,                0.61655,                 0.5212,                0.25741,                0.91099,                0.00802,                0.00802,                0.00802
                      4,                0.29208,                0.18473,                0.79403,                0.92117,                0.88329,                0.88108,                0.60198,                0.52138,                0.25582,                0.93363,                0.00802,                0.00802,                0.00802
                      5,                0.27563,                 0.1728,                0.78962,                0.88482,                0.86614,                 0.8722,                0.62239,                  0.498,                0.26469,                0.90699,                0.00736,                0.00736,                0.00736
                      6,                0.26124,                 0.1628,                0.78606,                0.92558,                0.86495,                0.87988,                0.62276,                0.56048,                0.27435,                0.93436,                 0.0067,                 0.0067,                 0.0067
                      7,                0.24972,                0.15295,                0.78411,                0.92588,                0.89003,                0.88415,                0.60469,                0.52076,                0.24326,                0.92529,                0.00604,                0.00604,                0.00604
                      8,                0.24124,                0.14587,                0.78217,                0.93808,                0.89967,                  0.902,                0.61972,                0.53287,                0.24348,                 0.9277,                0.00538,                0.00538,                0.00538
                      9,                0.23236,                0.13954,                0.77988,                0.94165,                0.88406,                0.89472,                0.59507,                0.52435,                0.25403,                0.93196,                0.00472,                0.00472,                0.00472
                     10,                0.22498,                  0.132,                0.77772,                0.93602,                0.89573,                0.89218,                 0.6173,                0.52206,                0.24361,                0.92457,                0.00406,                0.00406,                0.00406
                     11,                0.21896,                 0.1272,                0.77565,                0.94059,                0.89086,                0.89431,                0.62372,                0.51264,                0.24518,                 0.9145,                 0.0034,                 0.0034,                 0.0034
                     12,                  0.212,                0.12114,                0.77419,                0.94421,                0.90942,                0.90561,                0.60981,                 0.5027,                0.23181,                0.88422,                0.00274,                0.00274,                0.00274
                     13,                 0.2055,                 0.1137,                0.77307,                0.93888,                  0.895,                0.89585,                 0.6048,                0.50135,                0.24555,                0.90838,                0.00208,                0.00208,                0.00208
                     14,                0.19882,                 0.1067,                0.77236,                0.95174,                0.90969,                0.90489,                0.61286,                0.50818,                0.24457,                0.88206,                0.00142,                0.00142,                0.00142
